Number   a     b     c     
  0)     3     4     5    
  1)     5     12     13    
  2)     6     8     10    
  3)     7     24     25    
  4)     8     15     17    
  5)     9     12     15    
  6)     9     40     41    
  7)     10     24     26    
  8)     12     16     20    
  9)     12     35     37    
  10)     14     48     50    
  11)     15     20     25    
  12)     15     36     39    
  13)     16     30     34    
  14)     18     24     30    
  15)     20     21     29    
  16)     20     48     52    
  17)     21     28     35    
  18)     24     32     40    
  19)     24     45     51    
  20)     27     36     45    
  21)     28     45     53    
  22)     30     40     50    
  23)     33     44     55    
